Company,CIK,Document,Form
Kim Helen Susan,0001422772,Security Sale/Purchase Record, 4
Kim Helen Susan,0001559053,Security Sale/Purchase Record, 4
LAWLOR AUGUSTINE,0001262327,Security Sale/Purchase Record, 4
PITTERS RON,0001299709,Security Sale/Purchase Record, 4
PITTERS RON,0001891973,Security Sale/Purchase Record, 4
LI WILLIAM,0001509745,Security Sale/Purchase Record, 4
LI WILLIAM,0001273806,Security Sale/Purchase Record, 4
Ghazi Sassine,0000883241,Security Sale/Purchase Record, 4
Ghazi Sassine,0001822289,Security Sale/Purchase Record, 4
Hollingsworth Jane H,0001297141,Security Sale/Purchase Record, 4
Reinhardt Jason,0001648196,Security Sale/Purchase Record, 4
Ready William J,0001506293,Security Sale/Purchase Record, 4
Meckenzie Shalom,0001810205,Security Sale/Purchase Record, 4
COURT JAMES JOHN,0001299709,Security Sale/Purchase Record, 4
COURT JAMES JOHN,0001517804,Security Sale/Purchase Record, 4
Kim Helen Susan,0001559053,Security Ownership Statement, 3
Goldstein Robert Thomas,0001846017,Security Sale/Purchase Record, 4/A
Goldstein Robert Thomas,0001872785,Security Sale/Purchase Record, 4/A
ROSENMAN HERM,0001230057,Security Sale/Purchase Record, 4/A
Altschuler Randolph,0001869814,Security Sale/Purchase Record, 4
Ratinoff Edward James,0001500191,Security Sale/Purchase Record, 4
Olsen Christopher,0001828005,Security Sale/Purchase Record, 4
Logan Joseph W,0001373606,Security Sale/Purchase Record, 4
SCHWARTZ THEODORE G,0001001874,Security Sale/Purchase Record, 4
D'Ambrosio Lance Varro,0001167419,Security Sale/Purchase Record, 4
D'Ambrosio Lance Varro,0001611745,Security Sale/Purchase Record, 4
Hamel Judy G,0001648170,Security Sale/Purchase Record, 4
Shure Brian,0001838128,Security Sale/Purchase Record, 4
Shure Brian,0001861410,Security Sale/Purchase Record, 4
Constantine Thomas M,0001299709,Security Sale/Purchase Record, 4
Constantine Thomas M,0001778031,Security Sale/Purchase Record, 4
Allen Thomas Glassbrooke,0001936195,Security Sale/Purchase Record, 4
Petersen Floyd F.,0001611286,Security Sale/Purchase Record, 4
Elaine Johnson Martin,0000935419,Security Sale/Purchase Record, 4
Elaine Johnson Martin,0001785451,Security Sale/Purchase Record, 4
JPMORGAN CHASE & CO,0000019617,Prospectus [Rule 424(b)(2)], 424B2
"DRIVE CAPITAL OVERDRIVE FUND I, L.P.",0001773446,Security Sale/Purchase Record, 4
DRIVE CAPITAL OVERDRIVE FUND I,0001788882,Security Sale/Purchase Record, 4
"DRIVE CAPITAL OVERDRIVE FUND I (TE), L.P.",0001773441,Security Sale/Purchase Record, 4
"Drive Capital Overdrive Ignition Fund I, L.P.",0001799650,Security Sale/Purchase Record, 4
Allen George,0001548443,Security Sale/Purchase Record, 4
WEINBERG JOHN S,0001029647,Security Sale/Purchase Record, 4
Gupta Ashwini,0001405635,Security Sale/Purchase Record, 4
Zanco Joseph B,0001318329,Security Sale/Purchase Record, 4
Carter Stefani D,0001591372,Security Sale/Purchase Record, 4
Knott Kenneth J.,0001442846,Security Sale/Purchase Record, 4
Hancock Richard B,0001723288,Security Sale/Purchase Record, 4
Bertagnolli Monica,0001761030,Security Sale/Purchase Record, 4/A
Bonakdarpour Mahtiyar,0001913361,Security Sale/Purchase Record, 4
Rallo James M,0001657573,Security Sale/Purchase Record, 4
LaRossa Ralph A,0001377477,Security Sale/Purchase Record, 4
PARK DAVID X,0001299709,Security Sale/Purchase Record, 4
PARK DAVID X,0001807029,Security Sale/Purchase Record, 4
Mirabelli Christopher,0001262326,Security Sale/Purchase Record, 4
NELSON ZACHARY,0001073342,Security Sale/Purchase Record, 4
NELSON ZACHARY,0001544522,Security Sale/Purchase Record, 4
Monat Jeffrey,0001792332,Security Sale/Purchase Record, 4
CAVANAUGH JAMES H,0001013473,Security Sale/Purchase Record, 4
CAVANAUGH JAMES H,0001509745,Security Sale/Purchase Record, 4
Mashiach Nissim,0001357777,Security Sale/Purchase Record, 4
LGP Associates V LLC,0001642447,Security Sale/Purchase Record, 4
PERIDOT COINVEST MANAGER LLC,0001632725,Security Sale/Purchase Record, 4
"TCS Co-Invest, LLC",0001590842,Security Sale/Purchase Record, 4
"Green V Holdings, LLC",0001449645,Security Sale/Purchase Record, 4
"Green Equity Investors V, L.P.",0001449644,Security Sale/Purchase Record, 4
"Green Equity Investors Side V, L.P.",0001449643,Security Sale/Purchase Record, 4
Bohlig Tamara N,0001787292,Security Sale/Purchase Record, 4
Stanford Geoffrey C,0001563798,Security Sale/Purchase Record, 4
Walsh Derrick,0001636371,Security Sale/Purchase Record, 4
Schwartz Todd G.,0001818502,Security Sale/Purchase Record, 4
Schwartz Todd G.,0001873026,Security Sale/Purchase Record, 4
Chapman Rowan E,0001604821,Security Sale/Purchase Record, 4/A
Chapman Rowan E,0001786240,Security Sale/Purchase Record, 4/A
Taubman Paul J,0001479665,Security Sale/Purchase Record, 4
Taubman Paul J,0001626115,Security Sale/Purchase Record, 4
Anton William Conrad,0001861771,Security Sale/Purchase Record, 4
MCGRATH TIMOTHY J,0001050377,Security Sale/Purchase Record, 4
Anton William Conrad,0001838128,Security Sale/Purchase Record, 4
Granfield Christine,0001822190,Security Sale/Purchase Record, 4
Snyder Jessica E.,0001943469,Security Sale/Purchase Record, 4
Bar-Adon Eshel,0001299709,Security Sale/Purchase Record, 4
Bar-Adon Eshel,0001777939,Security Sale/Purchase Record, 4
Pope Michael Ross,0001590418,Security Sale/Purchase Record, 4
Pope Michael Ross,0001641070,Security Sale/Purchase Record, 4
Dietz Thomas John,0001574218,Security Sale/Purchase Record, 4
Micheletti Andrew J,0001319005,Security Sale/Purchase Record, 4
HEALY JAMES,0001245624,Security Sale/Purchase Record, 4/A
HEALY JAMES,0001604821,Security Sale/Purchase Record, 4/A
Owens Daniel E.,0001858105,Security Sale/Purchase Record, 4
Bradbury Erik,0001824092,Security Sale/Purchase Record, 4
GALLUP PATRICIA,0001050377,Security Sale/Purchase Record, 4
GALLUP PATRICIA,0001186630,Security Sale/Purchase Record, 4
O'Mahony John Mark,0001808556,Security Sale/Purchase Record, 4
Baker Christopher J.,0001714015,Security Sale/Purchase Record, 4
Baker Christopher J.,0001738827,Security Sale/Purchase Record, 4
Baynes Roy D.,0001604821,Security Sale/Purchase Record, 4/A
Baynes Roy D.,0001680739,Security Sale/Purchase Record, 4/A
Bouthillette Max,0001712741,Security Sale/Purchase Record, 4
Bouthillette Max,0001738827,Security Sale/Purchase Record, 4
Kleiser Kirk E.,0001885818,Security Sale/Purchase Record, 4
Argalas James S,0001299709,Security Sale/Purchase Record, 4
Argalas James S,0001529312,Security Sale/Purchase Record, 4
Swanson Brian D,0001299709,Security Sale/Purchase Record, 4
Swanson Brian D,0001777936,Security Sale/Purchase Record, 4
Vennettilli David,0001818502,Security Sale/Purchase Record, 4
Vennettilli David,0001873027,Security Sale/Purchase Record, 4
MATSUMOTO RAYMOND D,0001281197,Security Sale/Purchase Record, 4
MATSUMOTO RAYMOND D,0001299709,Security Sale/Purchase Record, 4
LOWE ALAN S,0001234673,Security Sale/Purchase Record, 4
Flower Johanna,0001872303,Security Sale/Purchase Record, 4
Vargas Jose J.,0001023364,Security Sale/Purchase Record, 4
Grinberg Paul,0001303829,Security Sale/Purchase Record, 4
Grinberg Paul,0001299709,Security Sale/Purchase Record, 4
Vargas Jose J.,0001641128,Security Sale/Purchase Record, 4
Ali Wajid,0001561100,Security Sale/Purchase Record, 4
Lehner Keefer McGovern,0001712745,Security Sale/Purchase Record, 4
Sansone Judith S,0000096021,Security Sale/Purchase Record, 4
Tolla John Charles,0001299709,Security Sale/Purchase Record, 4
Sansone Judith S,0001828819,Security Sale/Purchase Record, 4
LOSCALZO JOSEPH,0001276128,Security Sale/Purchase Record, 4
Woodside Dennis,0001734438,Security Sale/Purchase Record, 4
SOKOLOFF JONATHAN D,0001175522,Security Sale/Purchase Record, 4
SOKOLOFF JONATHAN D,0001411688,Security Sale/Purchase Record, 4
McKay Matthew J,0001675779,Security Sale/Purchase Record, 4
Powell Mary,0001469367,Security Sale/Purchase Record, 4
Powell Mary,0001730240,Security Sale/Purchase Record, 4
Dada Uzair,0001631683,Security Sale/Purchase Record, 4
Retort Vincent,0001648256,Security Sale/Purchase Record, 4
Sirard Cynthia,0001808408,Security Sale/Purchase Record, 4
LAWLOR AUGUSTINE,0001509745,Security Sale/Purchase Record, 4
Marcus Gail Boxer,0001702176,Security Sale/Purchase Record, 4/A
Mashiach Nissim,0001509745,Security Sale/Purchase Record, 4
Mirabelli Christopher,0001509745,Security Sale/Purchase Record, 4
LOSCALZO JOSEPH,0001509745,Security Sale/Purchase Record, 4
Sirard Cynthia,0001509745,Security Sale/Purchase Record, 4
Granfield Christine,0001509745,Security Sale/Purchase Record, 4
Dietz Thomas John,0001509745,Security Sale/Purchase Record, 4
O'Mahony John Mark,0001509745,Security Sale/Purchase Record, 4
Hollingsworth Jane H,0001053691,Security Sale/Purchase Record, 4
"Leonard Green & Partners, L.P.",0001411688,Security Sale/Purchase Record, 4
"Leonard Green & Partners, L.P.",0001175523,Security Sale/Purchase Record, 4
LGP MANAGEMENT INC,0001175525,Security Sale/Purchase Record, 4
"GEI Capital V, LLC",0001449640,Security Sale/Purchase Record, 4
Kim Helen Susan,0001422772,Security Ownership Statement, 3
JPMORGAN CHASE & CO,0001665650,Prospectus [Rule 424(b)(2)], 424B2
LOWE ALAN S,0001633978,Security Sale/Purchase Record, 4
McKay Matthew J,0001065696,Security Sale/Purchase Record, 4
Logan Joseph W,0000883241,Security Sale/Purchase Record, 4
Snyder Jessica E.,0001091748,Security Sale/Purchase Record, 4
Reinhardt Jason,0001633978,Security Sale/Purchase Record, 4
Gupta Ashwini,0001084961,Security Sale/Purchase Record, 4
Ali Wajid,0001633978,Security Sale/Purchase Record, 4
Retort Vincent,0001633978,Security Sale/Purchase Record, 4
Hamel Judy G,0001633978,Security Sale/Purchase Record, 4
Micheletti Andrew J,0001299709,Security Sale/Purchase Record, 4
Tolla John Charles,0001777926,Security Sale/Purchase Record, 4
Allen Thomas Glassbrooke,0001846510,Security Sale/Purchase Record, 4
Walsh Derrick,0001299709,Security Sale/Purchase Record, 4
WEINBERG JOHN S,0000037996,Security Sale/Purchase Record, 4
ROSENMAN HERM,0001604821,Security Sale/Purchase Record, 4/A
Bradbury Erik,0001883685,Security Sale/Purchase Record, 4
Dada Uzair,0001299709,Security Sale/Purchase Record, 4
Marcus Gail Boxer,0001604821,Security Sale/Purchase Record, 4/A
Bertagnolli Monica,0001604821,Security Sale/Purchase Record, 4/A
Bohlig Tamara N,0001299709,Security Sale/Purchase Record, 4
Knott Kenneth J.,0000893538,Security Sale/Purchase Record, 4
Nick Mosich,0001299709,Security Sale/Purchase Record, 4
Ratinoff Edward James,0001299709,Security Sale/Purchase Record, 4
Zanco Joseph B,0001849867,Security Sale/Purchase Record, 4
Kleiser Kirk E.,0001849867,Security Sale/Purchase Record, 4
Carter Stefani D,0001299709,Security Sale/Purchase Record, 4
Meckenzie Shalom,0001883685,Security Sale/Purchase Record, 4
Owens Daniel E.,0001630627,Security Sale/Purchase Record, 4
Olsen Christopher,0001788882,Security Sale/Purchase Record, 4
Allen George,0001838128,Security Sale/Purchase Record, 4
Monat Jeffrey,0001838128,Security Sale/Purchase Record, 4
MCGRATH TIMOTHY J,0001188266,Security Sale/Purchase Record, 4
Drive Capital I (GP) LLC,0001867317,Security Sale/Purchase Record, 4
"Drive Capital Overdrive Fund I (GP), LLC",0001830378,Security Sale/Purchase Record, 4
Nick Mosich,0001464919,Security Sale/Purchase Record, 4
Lehner Keefer McGovern,0001738827,Security Sale/Purchase Record, 4
Stanford Geoffrey C,0001738827,Security Sale/Purchase Record, 4
SCHWARTZ THEODORE G,0001818502,Security Sale/Purchase Record, 4
Bonakdarpour Mahtiyar,0001788882,Security Sale/Purchase Record, 4
Ready William J,0001643573,Security Sale/Purchase Record, 4
Petersen Floyd F.,0001297184,Security Sale/Purchase Record, 4
LaRossa Ralph A,0000788784,Security Sale/Purchase Record, 4
Rallo James M,0001352659,Security Sale/Purchase Record, 4
Hancock Richard B,0000704562,Security Sale/Purchase Record, 4
Woodside Dennis,0001544522,Security Sale/Purchase Record, 4
Altschuler Randolph,0001657573,Security Sale/Purchase Record, 4
Flower Johanna,0001544522,Security Sale/Purchase Record, 4
BEECHEM JOSEPH M,0001401708,Security Sale/Purchase Record, 4
Kidder Todd A.,0001885824,Security Sale/Purchase Record, 4
Chimienti Mayra Idali,0001865161,Security Sale/Purchase Record, 4/A
Martel William H,0001808182,Security Sale/Purchase Record, 4/A
Mnookin Allison,0001397911,Security Sale/Purchase Record, 4
Mnookin Allison,0001603473,Security Sale/Purchase Record, 4
STANGL SANDRA,0001521539,Security Sale/Purchase Record, 4
DE GEUS AART,0001249802,Security Sale/Purchase Record, 4
KAPLAN MARK N,0001187345,Security Sale/Purchase Record, 4
Friedman Gavin,0001800776,Security Sale/Purchase Record, 4/A
HSBC USA INC /MD/,0000083246,Free Writing Prospectus, FWP
Blackwood Lindsay K.,0000078890,Security Sale/Purchase Record, 4
Blackwood Lindsay K.,0001894063,Security Sale/Purchase Record, 4
Stellinga Jeff Wayne,0001408057,Security Sale/Purchase Record, 4
Stellinga Jeff Wayne,0001673227,Security Sale/Purchase Record, 4
Henderson Molly,0001363812,Security Sale/Purchase Record, 4
Henderson Molly,0001783183,Security Sale/Purchase Record, 4
Copeland David W,0000893538,Security Sale/Purchase Record, 4
Copeland David W,0001396395,Security Sale/Purchase Record, 4
LITTLE MITCHELL R,0000827054,Security Sale/Purchase Record, 4
LITTLE MITCHELL R,0001181941,Security Sale/Purchase Record, 4
WISEMAN ERIC C,0001739940,Security Sale/Purchase Record, 4
WISEMAN ERIC C,0001237851,Security Sale/Purchase Record, 4
Lutey Mary Ellen,0000893538,Security Sale/Purchase Record, 4
Lutey Mary Ellen,0001563908,Security Sale/Purchase Record, 4
Kidder Todd A.,0001849867,Security Sale/Purchase Record, 4
BEECHEM JOSEPH M,0001576195,Security Sale/Purchase Record, 4
Wynne Mitch S.,0001657788,Security Sale/Purchase Record, 4
Wynne Mitch S.,0001695394,Security Sale/Purchase Record, 4
Quebedeaux Amanda B.,0001885819,Security Sale/Purchase Record, 4
"Hill International, Inc.",0001287808,Acquisition Statement, SC 13D
Pertz Douglas A,0000078890,Security Sale/Purchase Record, 4
Masiyiwa Strive,0001837857,Security Sale/Purchase Record, 4
Peters Gregory K,0001065280,Security Sale/Purchase Record, 4
Peters Gregory K,0001583109,Security Sale/Purchase Record, 4
FORD WILLIAM CLAY JR,0000037996,Security Sale/Purchase Record, 4
FORD WILLIAM CLAY JR,0001230846,Security Sale/Purchase Record, 4
Fleming Ronnie L,0001673005,Security Sale/Purchase Record, 4
Machuga Steven,0001865419,Security Sale/Purchase Record, 4
Warnick Jason,0001871212,Security Sale/Purchase Record, 4
Denekas Craig N,0001705793,Security Sale/Purchase Record, 4/A
FUCHS MICHAEL J,0001023364,Security Sale/Purchase Record, 4
FUCHS MICHAEL J,0001198702,Security Sale/Purchase Record, 4
Ray Nitya G.,0001175680,Security Sale/Purchase Record, 4
Ray Nitya G.,0001709522,Security Sale/Purchase Record, 4
"WP XII STRONGHOLD HOLDINGS, L.P.",0001945099,Security Ownership Statement, 3
"WARBURG PINCUS XII (E&P) PARTNERS-2 STRONGHOLD, LLC",0001945090,Security Ownership Statement, 3
"Warburg Pincus (E&P) XII, L.P.",0001912644,Security Ownership Statement, 3
Warburg Pincus (E&P) XII LLC,0001912643,Security Ownership Statement, 3
"Warburg Pincus Private Equity (E&P) XII (A), L.P.",0001792241,Security Ownership Statement, 3
"Warburg Pincus Private Equity (E&P) XII-E (A), L.P.",0001792224,Security Ownership Statement, 3
Porter Charles W.,0000885508,Security Sale/Purchase Record, 4
Porter Charles W.,0001545102,Security Sale/Purchase Record, 4
McCarthy Marie J,0000750686,Security Sale/Purchase Record, 4/A
McCarthy Marie J,0001748435,Security Sale/Purchase Record, 4/A
IZZO RALPH,0000788784,Security Sale/Purchase Record, 4
IZZO RALPH,0001257451,Security Sale/Purchase Record, 4
Max Sound Corp,0001353499,Current Report, 8-K
GRAHAM TERRI F,0001189952,Security Sale/Purchase Record, 4
Flanagan David C,0000750686,Security Sale/Purchase Record, 4/A
Flanagan David C,0001339885,Security Sale/Purchase Record, 4/A
POLK DENNIS,0001803599,Security Sale/Purchase Record, 4
POLK DENNIS,0001270710,Security Sale/Purchase Record, 4
HIVE Blockchain Technologies Ltd.,0001720424,Service / Processing Agent Appointment, F-X
DeRosa Anthony John,0001805385,Security Sale/Purchase Record, 4
Gold Jedidiah Marc,0001853513,Security Ownership Statement, 3/A
Gold Jedidiah Marc,0001865157,Security Ownership Statement, 3/A
Franz Arnd,0001065696,Security Sale/Purchase Record, 4
Franz Arnd,0001790347,Security Sale/Purchase Record, 4
Lafleur Frederick R.,0001849867,Security Sale/Purchase Record, 4
Lafleur Frederick R.,0001885822,Security Sale/Purchase Record, 4
MORGAN STANLEY,0001666268,Prospectus [Rule 424(b)(2)], 424B2
Tooth Margaret,0001371285,Security Sale/Purchase Record, 4/A
Shaw Alan H.,0001643244,Security Sale/Purchase Record, 4
Shaw Alan H.,0000702165,Security Sale/Purchase Record, 4
Jones Jason C,0001775619,Security Sale/Purchase Record, 4
Rhone Neville L. Jr.,0001836066,Security Sale/Purchase Record, 4
Hansen Steven Q.,0001826681,Security Sale/Purchase Record, 4
PLOUF TRICIA,0001371285,Security Sale/Purchase Record, 4/A
Hansen Steven Q.,0001880607,Security Sale/Purchase Record, 4
Castillo Daniel J,0000078890,Security Sale/Purchase Record, 4
Jude Justin L,0001065696,Security Sale/Purchase Record, 4
Jude Justin L,0001648327,Security Sale/Purchase Record, 4
Fosheim Jon A,0001418121,Security Sale/Purchase Record, 4
"Ra Medical Systems, Inc.",0001716621,Current Report, 8-K/A
"FS Capital Partners V, LLC",0001406857,Security Ownership Statement, 3
FS EQUITY PARTNERS V LP,0001606366,Security Ownership Statement, 3
Courtemanche Craig F. Jr.,0001611052,Security Sale/Purchase Record, 4
Courtemanche Craig F. Jr.,0001805735,Security Sale/Purchase Record, 4
Whitcomb David J.,0000893538,Security Sale/Purchase Record, 4
DUFOUR GREGORY A,0000750686,Security Sale/Purchase Record, 4/A
Whitcomb David J.,0001442781,Security Sale/Purchase Record, 4
InterPrivate III Financial Partners Inc.,0001839610,Current Report, 8-K
SCHIFTER RICHARD P,0001249554,Security Sale/Purchase Record, 4
ROYAL BANK OF CANADA,0001,Free Writing Prospectus, FWP
Newton Lehman E III,0000893538,Security Sale/Purchase Record, 4
Newton Lehman E III,0001403099,Security Sale/Purchase Record, 4
Rowe Jared Robert,0001737971,Security Sale/Purchase Record, 4
Ferguson Jack L,0001317600,Security Sale/Purchase Record, 4
Dopfner Mathias,0001065280,Security Sale/Purchase Record, 4
Putnam James S,0001397911,Security Sale/Purchase Record, 4
Dopfner Mathias,0001370931,Security Sale/Purchase Record, 4
